name, type, fmk [MPa], ft0k [MPa], ft90k [MPa], fc0k [MPa], fc90k [MPa], fvk [MPa],frk [MPa], E0mean [MPa], E005 [MPa], E90mean [MPa],E90_005 [MPa], Gmean [MPa], G05 [MPa], pk [MPa],pmean [MPa], Ym [-]
C14,Softwood,14.,7.2,0.4,16.,2.,3.,0.8,7000,4700,230,154,440,295.5,290,350,0.00
C16,Softwood,16.,8.5,0.4,17.,2.2,3.2,0.8,8000,5400,270,181,500,337.5,310,370,0.00
C18,Softwood,18.,10.,0.4,18.,2.2,3.4,0.8,9000,6000,300,201,560,373.4,320,380,0.00
C20,Softwood,20.,11.5,0.4,19.,2.3,3.6,0.8,9500,6400,320,214,590,397.5,330,400,0.00
C22,Softwood,22.,13.,0.4,20.,2.4,3.8,0.8,10000,6700,330,221,630,422.1,340,410,0.00
C24,Softwood,24.,14.5,0.4,21.,2.5,4.,0.8,11000,7400,370,248,690,464.2,350,420,0.00
C27,Softwood,27.,16.5,0.4,22.,2.5,4.,0.8,11500,7700,380,255,720,482.1,360,430,0.00
C30,Softwood,30.,19.,0.4,24.,2.7,4.,0.8,12000,8000,400,268,750,500.0,380,460,0.00
C35,Softwood,35.,22.5,0.4,25.,2.7,4.,0.8,13000,8700,430,288,810,542.1,390,470,0.00
C40,Softwood,40.,26.,0.4,27.,2.8,4.,0.8,14000,9400,470,315,880,590.9,400,480,0.00
C45,Softwood,45.,30.,0.4,29.,2.9,4.,0.8,15000,10100,500,335,940,633.0,410,490,0.00
C50,Softwood,50.,33.5,0.4,30.,3.,4.,0.8,16000,10700,530,355,1000,668.8,430,520,0.00
D30,Hardwood,30.,18.,0.6,24.,5.3,3.9,1.2,11000,9200,730,489,690,577.1,530,640,0.00
D35,Hardwood,35.,21.,0.6,25.,5.4,4.1,1.2,12000,10100,800,536,750,631.3,540,650,0.00
D40,Hardwood,40.,24.,0.6,27.,5.5,4.2,1.2,13000,10900,870,583,810,679.2,550,660,0.00
D50,Hardwood,50.,30.,0.6,29.,6.2,4.5,1.2,14000,11800,930,623,880,741.8,620,740,0.00
D60,Hardwood,60.,36.,0.6,33.,10.5,4.8,1.2,17000,14300,1130,757,1060,891.7,700,840,0.00
D70,Hardwood,70.,42.,0.6,36.,12.,5.,1.2,20000,16800,1330,891,1250,1050.0,800,960,0.00
GL20h,Glulam h,20.,16.,0.5,20.,2.5,3.5,1.,8400,7000,300,250,650,540.0,340,370,0.00
GL22h,Glulam h,22.,17.6,0.5,22.,2.5,3.5,1.,10500,8800,300,250,650,540.0,370,410,0.00
GL24h,Glulam h,24.,19.2,0.5,24.,2.5,3.5,1.,11500,9600,300,250,650,540.0,385,420,0.00
GL26h,Glulam h,26.,20.8,0.5,26.,2.5,3.5,1.,12100,10100,300,250,650,540.0,405,445,0.00
GL28h,Glulam h,28.,22.3,0.5,28.,2.5,3.5,1.,12600,10500,300,250,650,540.0,425,460,0.00
GL30h,Glulam h,30.,24.,0.5,30.,2.5,3.5,1.,13600,11300,300,250,650,540.0,430,480,0.00
GL32h,Glulam h,32.,25.6,0.5,32.,2.5,3.5,1.,14200,11800,300,250,650,540.0,440,490,0.00
GL20c,Glulam c,20.,15.,0.5,18.5,2.5,3.5,1.,10400,8600,300,250,650,540.0,355,390,0.00
GL22c,Glulam c,22.,16.,0.5,20.,2.5,3.5,1.,10400,8600,300,250,650,540.0,355,390,0.00
GL24c,Glulam c,24.,17.,0.5,21.5,2.5,3.5,1.,11000,9100,300,250,650,540.0,365,400,0.00
GL26c,Glulam c,26.,19.,0.5,23.5,2.5,3.5,1.,12000,10000,300,250,650,540.0,385,420,0.00
GL28c,Glulam c,28.,19.5,0.5,24.,2.5,3.5,1.,12500,10400,300,250,650,540.0,390,420,0.00
GL30c,Glulam c,30.,19.5,0.5,24.5,2.5,3.5,1.,13000,10800,300,250,650,540.0,390,430,0.00
GL32c,Glulam c,32.,19.5,0.5,24.5,2.5,3.5,1.,13500,11200,300,250,650,540.0,400,440,0.00
Kerto-S,LVL,44.,35.,0.8,35.,6.,4.1,0.5,13800,11600,1,1,600,400.0,480,510,0.00
Kerto-Q,LVL,32.,26.,6.,26.,9.,4.5,0.5,10500,8800,1,1,600,400.0,480,510,0.00
